stage,engine,query,filter,sel,threads,warm_s
g-sparse-90,D-JOIN,Q2,F2,S1,1,0.019816
g-sparse-90,D-JOIN,Q2,F2,S1,4,0.021625
g-sparse-90,A-ALIGNED,Q2,F2,S1,1,0.008791
g-sparse-90,A-ALIGNED,Q2,F2,S1,4,0.008720
g-sparse-90,A-NORMAL,Q2,F2,S1,1,0.009099
g-sparse-90,A-NORMAL,Q2,F2,S1,4,0.008882
g-sparse-99,D-WIDE,Q2,F2,S1,1,0.006472
g-sparse-99,D-WIDE,Q2,F2,S1,4,0.006804
g-sparse-99,D-JOIN,Q2,F2,S1,1,0.020859
g-sparse-99,D-JOIN,Q2,F2,S1,4,0.022363
g-sparse-99,A-ALIGNED,Q2,F2,S1,1,0.009653
g-sparse-99,A-ALIGNED,Q2,F2,S1,4,0.008590
g-sparse-99,A-NORMAL,Q2,F2,S1,1,0.009916
g-sparse-99,A-NORMAL,Q2,F2,S1,4,0.008477
g-sparse-dense,D-WIDE,Q2,F2,S1,1,0.005493
g-sparse-dense,D-WIDE,Q2,F2,S1,4,0.005875
g-sparse-dense,D-JOIN,Q2,F2,S1,1,0.020828
g-sparse-dense,D-JOIN,Q2,F2,S1,4,0.021457
g-sparse-dense,A-ALIGNED,Q2,F2,S1,1,0.008532
g-sparse-dense,A-ALIGNED,Q2,F2,S1,4,0.008966
g-sparse-dense,A-NORMAL,Q2,F2,S1,1,0.011435
g-sparse-dense,A-NORMAL,Q2,F2,S1,4,0.009090
g-thread,A-ALIGNED,Q2,F1,S0,1,0.016530
g-thread,A-ALIGNED,Q2,F1,S0,2,0.012461
g-thread,A-ALIGNED,Q2,F1,S0,4,0.010855
g-thread,A-ALIGNED,Q2,F1,S0,8,0.011313
g-thread,A-NORMAL,Q2,F1,S0,1,0.015656
g-thread,A-NORMAL,Q2,F1,S0,2,0.013473
g-thread,A-NORMAL,Q2,F1,S0,4,0.011264
g-thread,A-NORMAL,Q2,F1,S0,8,0.010724
